beta,time,cost
0.000000,63,2002171136038.375244
0.000000,66,2150500798171.765869
0.000000,66,2048879147318.061523
0.000000,63,2114467677634.029541
0.000000,65,2090127156617.684814
0.000000,65,2058670852349.768066
0.000000,66,2166756188067.426270
0.000000,65,2121769983192.618164
0.000000,63,2165218925268.219238
0.000000,64,2137107322660.912109
0.000000,67,2113680739694.626465
0.000000,62,2139268747683.439453
0.000000,64,2132107137484.690918
0.000000,63,2050291454985.441406
0.000000,64,2114266336347.081055
0.000000,64,2079602259738.084717
0.000000,64,2109360191620.212402
0.000000,64,2114117925587.190186
0.000000,65,2094224501403.154541
0.000000,65,2121976382462.017334
0.000000,65,2140771866504.083740
0.000000,64,2195361643359.489746
0.000000,65,2054799215642.823486
0.000000,64,2062898233926.978271
0.000000,66,2166297541410.181641
0.000000,63,2040324723172.504883
0.000000,66,2056355449999.479248
0.000000,64,2083736880715.200439
0.000000,63,2084223615470.335693
0.000000,65,2150701188813.991455
0.000000,62,2038652284631.295898
0.000000,65,2058213408337.283203
0.000000,63,2156989339444.990479
0.000000,68,2147955153523.382080
0.000000,62,2152398647637.096680
0.000000,65,2204039162992.170898
0.000000,65,2165654888302.292725
0.000000,63,2148906367123.465576
0.000000,64,2164932259878.191162
0.000000,65,2165073571793.992676
0.000000,66,2136786795614.494141
0.000000,66,2093164456553.511963
0.000000,67,2128480004588.201416
0.000000,65,2119680415417.560059
0.000000,64,2071500287989.143555
0.000000,65,2076825980951.924316
0.000000,64,2075796399830.983887
0.000000,64,2029912297589.713379
0.000000,64,2057784656702.246582
0.000000,64,2088624012951.848145
0.000000,64,2163938536576.304443
0.000000,64,2141571251968.363281
0.000000,63,2070171201297.195068
0.000000,68,2182081461579.925049
0.000000,63,2122353008729.490234
0.000000,64,2118991356416.710205
0.000000,64,2117999762277.801025
0.000000,65,2214763667128.285156
0.000000,64,2175402005303.945068
0.000000,62,2107986578351.321533
0.000000,63,2157159747755.607422
0.000000,64,2073891723167.893799
0.000000,66,2131350072146.541016
0.000000,62,2143439418298.595703
0.000000,63,2144118095837.384033
0.000000,63,2120009543816.884766
0.000000,64,2154927968626.066895
0.000000,65,2105137191669.228760
0.000000,66,2094424789011.772461
0.000000,64,2011274887690.770508
0.000000,63,2084241015675.346680
0.000000,63,2150014940336.524170
0.000000,65,2175553058705.800049
0.000000,65,2146165164302.177490
0.000000,64,2038438653267.819092
0.000000,66,2076119448381.802979
0.000000,68,2183440110152.714600
0.000000,63,2165967659461.963623
0.000000,67,2123649298958.619385
0.000000,64,2132675009747.382080
0.000000,64,2096903825751.749756
0.000000,66,2114122749401.346191
0.000000,65,2099566070996.749512
0.000000,64,2142323726734.817139
0.000000,64,2178517971509.549072
0.000000,64,2071032192617.968506
0.000000,67,2084240078886.395264
0.000000,64,2203036229537.570801
0.000000,66,2117501130541.997803
0.000000,64,1942709027749.292969
0.000000,64,2047988624839.761719
0.000000,64,2052777373129.023193
0.000000,65,2175152414556.187988
0.000000,66,2129374622211.798584
0.000000,64,2032341608546.071777
0.000000,66,2101733370161.672363
0.000000,66,2079008906782.990234
0.000000,64,2198590319804.886230
0.000000,64,2089253080192.409180
0.000000,63,2202588982364.175781
0.000000,65,2120319497015.272949
0.000000,66,2169808994345.187012
0.000000,63,2168278330695.124756
0.000000,63,2116702991142.756348
0.000000,64,2131256342896.528809
0.000000,64,2151322288858.362305
0.000000,66,2183997714985.559082
0.000000,64,2144422682403.877441
0.000000,63,2022996900106.704102
0.000000,64,2099730248399.593018
0.000000,65,2093115060121.828613
0.000000,64,2088114079757.972412
0.000000,64,2064690147549.784912
0.000000,63,2171948626946.127441
0.000000,63,2147261511686.181396
0.000000,63,2089897847819.859863
0.000000,65,2145000697288.854736
0.000000,64,2046901876099.778809
0.000000,65,2104791339531.106445
0.000000,64,2088947332151.731201
0.000000,66,2154283380005.839600
0.000000,65,2098799966132.079834
0.000000,62,2080944420283.717285
0.000000,65,2037383606630.415527
0.000000,64,2145705920669.143311
0.000000,63,2089209863711.723145
0.000000,65,1993394149445.198730
0.000000,64,2024275489846.640137
0.000000,65,2129152953293.486084
0.000000,65,2172920822341.170654
0.000000,66,2127209221226.292725
0.000000,65,2214711442903.009277
0.000000,63,2120062376945.259521
0.000000,64,2046951084613.755371
0.000000,66,2084456312366.959961
0.000000,63,2067019470972.046631
0.000000,65,2115528927378.758301
0.000000,65,2074397453490.530762
0.000000,65,2118941466217.706055
0.000000,68,2213248617579.753906
0.000000,63,2184971670810.898438
0.000000,64,2090544051092.405518
0.000000,67,2112541219227.569092
0.000000,65,2065125251724.385742
0.000000,65,2177344062188.935059
0.000000,63,2130842558128.820801
0.000000,65,2159261881438.458252
0.000000,65,2118696742793.256836
0.000000,65,2057096284249.785645
0.000000,62,2147368092500.573730
0.000000,63,2088584604244.707275
0.000000,67,2091853794608.108398
0.000000,64,2124261473570.949951
0.000000,65,2170762561167.406006
0.000000,65,2097431425783.497559
0.000000,65,2175511497050.179199
0.000000,63,2163099454813.111572
0.000000,65,2130281713942.343994
0.000000,63,2113777929495.500000
0.000000,67,2175119676448.679688
0.000000,65,2075541969446.994629
0.000000,65,2062396140443.143066
0.000000,66,2082108568540.130127
0.000000,64,2120959340809.583496
0.000000,64,2145426672555.515137
0.000000,63,2071401026361.618652
0.000000,65,2134778275468.538330
0.000000,64,2106317947289.017578
0.000000,64,2119307413671.223389
0.000000,63,1967250291856.058594
0.000000,63,2181563318867.139404
0.000000,63,2090216222454.778564
0.000000,65,2137313936828.631104
0.000000,63,2063214089166.469971
0.000000,66,2086048287589.243408
0.000000,63,2174675142505.689453
0.000000,63,2115694121331.462891
0.000000,66,2196828068654.690186
0.000000,65,2091002442731.236084
0.000000,66,2119386249578.357910
0.000000,65,2233923504040.707031
0.000000,62,2160610633368.939941
0.000000,64,2166849140190.121826
0.000000,64,2162210211296.746582
0.000000,66,2081613041439.141846
0.000000,66,2149160688565.168213
0.000000,66,2046917489015.220947
0.000000,66,2090684519863.882568
0.000000,64,2151060306688.104736
0.000000,64,2093172889612.764160
0.000000,63,2147287256777.750244
0.000000,67,2089879338899.736572
0.000000,66,2090655471706.934570
0.000000,65,2070899549563.440186
0.000000,66,2154730859211.258057
0.000000,65,2043056122361.675537
0.000000,65,2127008517868.685303
0.000000,65,2133072315591.910400
0.000000,65,2115523277860.582764
0.000000,65,2066651806330.782471
0.000000,65,2161507149523.521973
0.000000,64,2129284389603.468506
0.000000,65,2122036979603.756592
0.000000,66,2106058023507.041016
0.000000,68,2090464573190.922363
0.000000,65,2171194685144.896729
0.000000,64,2146085324671.661377
0.000000,64,2141520745975.170898
0.000000,66,2180792567346.380615
0.000000,63,2161667872054.806641
0.000000,64,2128955015115.857422
0.000000,64,2155093632622.258545
0.000000,66,2105597729584.891846
0.000000,64,2118049125474.465332
0.000000,67,2049337830553.760010
0.000000,64,2122414852759.976318
0.000000,66,2082090413567.312988
0.000000,62,2084940310550.792236
0.000000,64,2054482691821.175049
0.000000,64,2118028787883.251221
0.000000,68,2210153453979.255859
0.000000,64,2174637510035.427979
0.000000,63,2018083249304.968750
0.000000,65,2075339617649.165039
0.000000,63,2183112058435.135010
0.000000,65,2068402345138.922852
0.000000,63,2178492938434.389160
0.000000,66,2047407487509.640381
0.000000,66,2038577765890.119873
0.000000,63,2103903217467.377686
0.000000,63,2100532331447.940186
0.000000,65,2095890247873.425293
0.000000,63,2077049055291.820068
0.000000,63,2035926384045.227783
0.000000,65,1943842905666.317383
0.000000,65,2142634854777.455078
0.000000,65,2090549595782.476562
0.000000,68,2067924430963.484375
0.000000,66,2146280814270.841064
0.000000,62,2091692710340.701416
0.000000,64,2210476223527.103027
0.000000,66,2034381585177.117676
0.000000,65,2073222842662.354980
0.000000,64,2034050469556.199951
0.000000,64,2090878599542.610840
0.000000,65,2032001618294.197266
0.000000,64,2026043105995.488770
0.000000,64,2173455568066.216309
0.000000,66,2175115174491.527100
0.000000,66,2043593239673.299316
0.000000,65,2150658347990.863281
0.000000,62,2076814947431.271240
0.000000,65,2110177126409.937500
0.000000,66,2183773769978.888428
0.000000,62,2096317203011.717529
0.000000,63,2084303534192.209473
0.000000,64,2119268955238.313721
0.000000,64,2143755163401.859619
0.000000,64,2018780326605.683350
0.000000,65,2122022375140.755859
0.000000,63,2073849884979.337402
0.000000,65,2036401649175.090820
0.000000,63,2087252153524.175293
0.000000,64,2021356919682.473633
0.000000,65,2138607514406.281006
0.000000,63,2050585500021.105713
0.000000,65,2123369404890.873535
0.000000,66,1995966396019.181152
0.000000,63,2121521866548.135010
0.000000,65,2037251271891.953613
0.000000,64,2269046234551.639648
0.000000,65,2119469185575.156494
0.000000,65,2120486591089.421143
0.000000,64,2072898326777.604736
0.000000,64,2134903795637.528320
0.000000,67,1975995941060.295410
0.000000,66,2169183515776.976562
0.000000,64,2177217256409.095947
0.000000,65,2098996983314.010986
0.000000,65,2172199628355.178467
0.000000,64,2065064267173.130127
0.000000,65,2062926419311.253418
0.000000,64,2073141235038.742188
0.000000,64,2123609683443.152832
0.000000,63,2072221940278.055420
0.000000,66,2134785012855.588135
0.000000,64,2184876952412.031006
0.000000,64,2264866641338.073730
0.000000,64,2101298326371.467529
0.000000,65,2011459385340.725342
0.000000,65,2043510848873.666748
0.000000,66,2100839407422.429688
0.000000,64,2073594314981.877930
0.000000,65,2070492323757.505859
0.000000,64,2230536860597.846191
0.000000,63,2008982779151.007568
0.000000,65,2106846971933.361816
0.000000,65,2062156732296.406738
0.000000,66,2094135797051.720459
0.000000,64,2117699533519.609131
0.000000,63,2109277499730.569092
0.000000,64,2208028452540.932617
0.000000,64,2171687544173.592285
0.000000,63,2002078758690.104492
0.000000,66,2101578103619.785889
0.000000,62,2073434292130.031006
0.000000,64,2125442745581.804443
0.000000,62,2141460946418.690430
0.000000,63,2088655291965.672363
0.000000,66,2108978459809.177979
0.000000,64,2075730251045.667969
0.000000,65,2180278488413.861572
0.000000,65,2164946961348.648438
0.000000,64,2184994895307.818604
0.000000,63,2150227453299.681885
0.000000,66,2063950140433.880127
0.000000,63,2135774464098.109619
0.000000,65,2261847635234.967285
0.000000,64,2056471179896.923340
0.000000,62,2054717804132.855713
0.000000,64,2189628826988.460693
0.000000,65,2059525670746.689941
0.000000,65,2086070254728.622070
0.000000,63,2193630811336.343262
0.000000,65,2079178709376.620605
0.000000,65,2122750252648.632812
0.000000,64,2071649092979.101318
0.000000,64,2138500266764.471191
0.000000,63,2106027899022.268066
0.000000,66,2092077722096.935547
0.000000,64,2124154021345.108643
0.000000,65,2167816264506.972900
0.000000,64,2081955051117.000244
0.000000,63,2120008482096.497314
0.000000,64,2137572623119.070312
0.000000,65,2090501902392.561035
0.000000,63,2128928424670.711426
0.000000,64,2097160513110.795166
0.000000,65,2086222489238.825195
0.000000,64,2148138658900.124756
0.000000,64,2090127704347.629883
0.000000,66,2105303463832.928711
0.000000,62,2183033662985.150879
0.000000,64,2141979922688.927002
0.000000,63,2143188956404.932617
0.000000,64,2188994648391.410400
0.000000,68,2095180504810.934570
0.000000,63,2085661548228.284912
0.000000,64,2170736218449.458496
0.000000,64,2185837850272.887451
0.000000,65,2085839140952.423340
0.000000,65,2040492533758.659180
0.000000,62,2117776155423.199707
0.000000,68,2140117804273.544678
0.000000,63,2140958699916.509766
0.000000,65,2028660719924.917969
0.000000,65,2112067243947.904541
0.000000,64,2054678463470.418701
0.000000,64,2233787418015.641113
0.000000,63,2090955993241.995361
0.000000,65,2181605764546.251709
0.000000,63,2094374632770.583740
0.000000,65,2027283206202.398682
0.000000,66,2140875128502.068115
0.000000,64,2018036465939.595459
0.000000,64,2082715312633.305908
0.000000,68,2084331021200.441406
0.000000,65,2068215270632.557617
0.000000,64,2154176489647.538086
0.000000,66,2134334920136.892822
0.000000,64,2043782427505.613770
0.000000,62,2133322048999.690674
0.000000,64,2143593517660.545898
0.000000,69,2114214454279.693848
0.000000,65,1998456178195.102783
0.000000,68,2075405476184.085693
0.000000,65,2146529183161.098145
0.000000,64,2010210794726.550781
0.000000,64,2155567994681.791260
0.000000,64,2110092768618.806396
0.000000,64,2131470343340.725098
0.000000,65,2111464859611.339355
0.000000,63,2068176593584.096191
0.000000,65,2087741235982.092041
0.000000,65,2070256019674.682861
0.000000,65,2168984536266.896973
0.000000,65,2090025365502.540527
0.000000,65,2083985475699.239990
0.000000,65,2134007428600.848145
0.000000,66,2157950206261.529541
0.000000,66,2094268222316.511963
0.000000,63,2144711648480.957275
0.000000,64,2083301445148.841309
0.000000,65,2074181751154.763428
0.000000,65,2085964547894.560059
0.000000,64,2077149030080.453125
0.000000,65,2083807448693.670654
0.000000,62,2171602619734.853760
0.000000,67,2108094649084.535889
0.000000,65,2088149418251.771484
0.000000,65,2095300845682.462891
0.000000,65,2161038220516.457520
0.000000,65,2226891420326.576660
0.000000,66,2052301986156.784668
0.000000,69,2126999253967.350586
0.000000,64,2161737949267.253662
0.000000,62,2076096534110.001709
0.000000,66,2093349802034.568848
0.000000,65,2030509930572.746094
0.000000,63,2004219147834.086426
0.000000,66,2134178738855.659668
0.000000,69,2077371425942.055420
0.000000,64,2107402310440.859619
0.000000,64,2007681899097.514893
0.000000,63,2057668958714.611084
0.000000,63,2103643601729.053467
0.000000,63,2088171682019.802490
0.000000,63,2107634660491.572998
0.000000,64,2103742817517.977539
0.000000,63,2070973787522.141113
0.000000,64,2139153485641.666992
0.000000,65,2090271229094.159180
0.000000,65,2083502227918.765625
0.000000,65,2077418665671.935303
0.000000,64,2083507484393.117676
0.000000,67,2187128800784.824707
0.000000,65,2139926597816.335449
0.000000,63,2011118564653.887939
0.000000,69,2080845824487.496582
0.000000,64,2046711293461.763184
0.000000,65,2184786656373.895508
0.000000,67,2134041164813.057861
0.000000,63,2134600327877.617432
0.000000,65,2048983805751.338379
0.000000,64,2099669634863.414307
0.000000,64,2100732650328.306885
0.000000,64,2211890374814.397461
0.000000,64,2149682576459.116699
0.000000,64,2142181855243.795410
0.000000,67,2037181464515.476074
0.000000,65,2140904005280.569824
0.000000,62,2118844625005.226807
0.000000,64,2041839220949.593262
0.000000,64,2165484726200.772949
0.000000,64,2066747517691.949707
0.000000,64,2074766237213.484375
0.000000,67,2084988118123.201172
0.000000,66,2109364890787.483398
0.000000,64,2034115432931.520996
0.000000,63,2073299753868.884277
0.000000,65,2182450784491.083496
0.000000,64,2094066554579.600098
0.000000,64,2091352217970.213623
0.000000,66,2082164405726.173828
0.000000,63,2144300393115.756592
0.000000,63,1983764504901.218018
0.000000,64,2128398162800.290771
0.000000,66,2155411227496.801514
0.000000,65,2147190894937.957520
0.000000,62,2188105592099.783691
0.000000,66,1982093758393.666748
0.000000,64,2118357764225.198242
0.000000,66,2164118834114.121094
0.000000,64,2087839804533.388184
0.000000,64,2160529631434.846436
0.000000,66,2076035754037.179688
0.000000,64,2154049828638.484131
0.000000,65,2060912710476.990234
0.000000,65,2090789348494.897949
0.000000,67,2000715215171.108154
0.000000,62,2146862488486.976074
0.000000,65,2049147048827.265869
0.000000,63,2129144572863.428467
0.000000,66,2007362745107.376953
0.000000,66,2119584526432.255127
0.000000,65,2133755887625.690674
0.000000,65,2105345276623.742188
0.000000,66,2154065299167.787109
0.000000,63,2141418112528.352295
0.000000,66,2115041402327.969971
0.000000,64,2157790414526.583984
0.000000,65,2119248998893.952881
0.000000,63,2081146201575.355957
0.000000,64,2152852619640.753418
0.000000,65,2092490001396.581299
0.000000,65,2191853363099.194824
0.000000,64,2184290824579.879395
0.000000,65,2068507257968.543701
0.000000,63,2222363129133.347656
0.000000,63,2105135357420.698242
0.000000,64,2057337531583.233154
0.000000,66,2082173958681.372314
0.000000,63,2155901571743.018555
0.000000,64,2116684949838.055420
0.000000,68,2031925072530.381592
0.000000,67,1972034447243.436035
0.000000,65,2119442314302.520996
0.000000,65,2171196480097.604736
0.000000,64,2075069936449.835205
0.000000,65,1983694097326.345215
0.000000,63,2056284536710.432861
0.000000,64,2143733990353.287354
0.000000,65,2192549274978.403809
0.000000,65,2091878207360.961914
0.000000,65,2126118869056.861816
0.000000,64,2113830103397.927002
0.000000,63,2118105093411.823242
0.000000,62,2182340621193.473877
0.000000,64,2098607410039.500000
0.000000,65,2072624989636.644531
0.000000,64,2026054340378.236328
0.000000,65,2097225402093.281982
0.000000,63,2202109154206.453613
0.000000,66,2099766866638.008789
0.000000,64,2101874744514.768066
0.000000,64,2129240290654.448486
0.000000,66,2138257012141.484375
0.000000,63,2034789043597.496094
0.000000,64,2106188583789.314209
0.000000,65,2143001556524.309570
0.000000,64,2129854403006.455078
0.000000,65,2059598219366.141113
0.000000,65,2130700263925.390137
0.000000,63,2026675916304.645264
0.000000,63,2138655110717.244629
0.000000,64,2123814136794.308105
0.000000,63,2156463949196.294678
0.000000,64,2207272960371.681641
0.000000,63,2142082957705.321289
0.000000,65,2076177908478.555908
0.000000,63,2133265650996.401367
0.000000,63,2113869465549.890869
0.000000,65,2173915669495.180420
0.000000,67,2104872460825.085205
0.000000,65,2103645788319.627930
0.000000,66,2066372335778.229492
0.000000,62,2062447969221.029297
0.000000,64,2082688991052.793213
0.000000,66,2228480889487.270020
0.000000,67,2130978268326.228027
0.000000,63,2140499778848.984619
0.000000,64,2101192914373.055420
0.000000,66,2126433578282.619141
0.000000,66,2125886434466.260986
0.000000,66,2027907089978.097900
0.000000,64,2119986840877.862549
0.000000,63,2162575846244.404297
0.000000,68,2162250013466.356689
0.000000,63,2080816976754.740723
0.000000,64,2110898106484.177979
0.000000,64,2025287415360.112061
0.000000,64,2076055451275.645752
0.000000,66,2083040849889.433838
0.000000,64,2164061785776.227539
0.000000,65,2142922373279.966309
0.000000,67,2133968243338.128906
0.000000,63,1987664859294.820312
0.000000,63,2135141507562.885010
0.000000,63,2187093813666.471436
0.000000,64,2028454759745.452148
0.000000,63,2119763426627.499023
0.000000,62,2101080041899.507812
0.000000,66,2168163202995.633057
0.000000,63,2189624088406.340576
0.000000,64,2237016893662.012695
0.000000,64,2085033116005.473633
0.000000,63,2044893582084.369873
0.000000,64,2095881644664.727051
0.000000,64,2144858680525.173828
0.000000,65,2199756862469.410156
0.000000,64,2134100263816.325439
0.000000,65,2200526100679.506348
0.000000,64,2042951738658.578125
0.000000,63,2109946081589.965088
0.000000,65,2083450468753.341064
0.000000,66,2065089735285.884766
0.000000,64,2042313707634.127686
0.000000,65,2049654209926.005127
0.000000,66,2136326186955.948975
0.000000,65,2148283779363.350098
0.000000,65,2102123012749.751709
0.000000,66,2054864574498.066406
0.000000,64,2022603133889.130127
0.000000,64,2111719277243.808594
0.000000,65,2027813296693.217529
0.000000,66,2098730041049.037354
0.000000,65,2085308273260.788818
0.000000,64,2096813687500.303955
0.000000,63,2079394681720.977539
0.000000,65,2111005738868.799805
0.000000,61,2124869332064.612793
0.000000,65,2176280152232.617676
0.000000,63,2171533931933.596680
0.000000,65,2132919439772.861572
0.000000,64,2067090094371.102783
0.000000,66,2082955041214.382568
0.000000,63,2152145968782.280029
0.000000,62,2235351988189.561523
0.000000,66,2056881108048.992432
0.000000,67,2172201899821.375488
0.000000,63,2184118228843.368408
0.000000,63,2143298387601.478027
0.000000,63,2120008639808.569336
0.000000,64,2148058785227.169922
0.000000,65,2090858762170.869629
0.000000,63,2120937272212.561523
0.000000,63,2096221970587.515381
0.000000,64,2166571612373.273438
0.000000,66,2138178641892.098145
0.000000,64,2100213010387.976318
0.000000,65,2040920663869.970703
0.000000,63,2147437444106.477783
0.000000,64,2030885037549.779297
0.000000,63,2126975175956.126953
0.000000,63,2109296587207.823975
0.000000,66,2149161328252.492920
0.000000,63,2016820318177.582031
0.000000,65,2111853999038.236572
0.000000,64,2160865618959.794189
0.000000,65,2095032841587.391602
0.000000,63,2128016419926.402344
