beta,time_mean,time_std,time_var,time_min,time_max,cost_mean,cost_std,cost_var,cost_min,cost_max,valid_samples
0.000000,64.466000,1.327721,1.762844,61.000000,69.000000,2109772661378.400635,51618029062.533615,2664420924300564889600.000000,1942709027749.292969,2269046234551.639648,1000
0.010000,71.155000,1.307278,1.708975,68.000000,76.000000,2109553096813.028076,51235337896.236214,2625059849341498294272.000000,1943842704011.746094,2269046322289.839355,1000
0.020000,72.334000,1.326063,1.758444,69.000000,77.000000,2109416083001.859619,50967922517.669556,2597729125767167082496.000000,1961988197566.438477,2269046446875.317383,1000
0.030000,73.309000,1.327976,1.763519,70.000000,78.000000,2109450289905.168457,50284246013.210236,2528505397117049110528.000000,1961985227846.571777,2261846344980.702637,1000
0.040000,74.169000,1.319257,1.740439,71.000000,79.000000,2110485645454.524170,49883904808.553421,2488403958948819369984.000000,1961982285910.246338,2237022584004.012207,1000
0.050000,74.828000,1.267445,1.606416,72.000000,79.000000,2110806200823.508545,49534322802.407967,2453649135493153554432.000000,1961979371740.230713,2256819987422.551270,1000
0.060000,75.433000,1.321935,1.747511,72.000000,80.000000,2111212317515.862549,49584912356.586121,2458663533410326675456.000000,1961976485375.422119,2256819534847.975098,1000
0.070000,76.270000,1.298884,1.687100,73.000000,81.000000,2111879203644.629883,49167616476.372009,2417454509967608381440.000000,1961973626905.530518,2256819081642.099121,1000
0.080000,76.978000,1.313589,1.725516,74.000000,81.000000,2112380355687.750000,49203896364.191597,2421023417418107060224.000000,1961970796465.801025,2256818628451.854004,1000
0.090000,77.493000,1.348314,1.817951,74.000000,82.000000,2111923478948.267334,49238818221.566505,2424461219856469458944.000000,1961967994231.785400,2256818175936.827637,1000
0.100000,78.202000,1.358380,1.845196,75.000000,83.000000,2111726382102.164795,49207665083.752281,2421394302994733334528.000000,1960909784497.719971,2256817724768.066895,1000
0.110000,78.858000,1.349013,1.819836,75.000000,83.000000,2111420346884.542480,49210850773.556046,2421707833857201930240.000000,1960915034162.020020,2256817275626.969727,1000
0.120000,79.341000,1.382288,1.910719,76.000000,84.000000,2111298602620.343262,49620912359.063553,2462234943345866047488.000000,1960920135074.728271,2256816829204.265137,1000
0.130000,80.174000,1.384819,1.917724,77.000000,85.000000,2111156078607.031982,50390994997.182045,2539252376806026117120.000000,1960925089119.082275,2256816386199.090332,1000
0.140000,80.645000,1.401062,1.962975,77.000000,85.000000,2109620599670.570557,51489559731.879051,2651174761382741016576.000000,1960929898300.385498,2270131498428.901367,1000
0.150000,81.255000,1.400705,1.961975,77.000000,87.000000,2110126489871.029053,51148003113.336205,2616118222481850368000.000000,1960934564738.069092,2270130816029.569824,1000
0.160000,81.823000,1.397022,1.951671,78.000000,87.000000,2109842786458.202881,50916315992.287949,2592471234226517180416.000000,1960939090658.096436,2270130132120.999023,1000
0.170000,82.511000,1.415584,2.003879,78.000000,88.000000,2109660550950.434082,50711523753.504456,2571658641402246987776.000000,1960943478385.696533,2270129446593.829102,1000
0.180000,83.139000,1.403453,1.969679,79.000000,89.000000,2109304946435.066406,50697909830.731766,2570278061205008416768.000000,1960947730338.422607,2270128759341.035156,1000
0.190000,83.686000,1.416123,2.005404,80.000000,89.000000,2109257423573.711182,51316633995.937592,2633396924673017511936.000000,1960951849019.511719,2270128070257.571777,1000
0.200000,84.262000,1.426659,2.035356,80.000000,90.000000,2109295109720.936035,51664491312.356499,2669219662564559945728.000000,1970891290828.994385,2270127379240.014648,1000
0.210000,84.952000,1.430278,2.045696,81.000000,90.000000,2109754182844.837158,52120891850.157082,2716587367255770660864.000000,1965528122307.312744,2270126686186.213379,1000
0.220000,85.487000,1.396363,1.949831,82.000000,91.000000,2110298647077.809326,52584819337.758133,2765163224784661643264.000000,1949553508664.953857,2270125990994.972656,1000
0.230000,86.134000,1.447772,2.096044,82.000000,92.000000,2111081835868.825928,51783691236.056595,2681550678031244722176.000000,1949555346669.795898,2270125293565.757812,1000
0.240000,86.801000,1.419647,2.015399,84.000000,92.000000,2111318282198.082275,50962720610.254456,2597198891998853988352.000000,1949557119194.332764,2263798566900.532227,1000
0.250000,87.350000,1.409078,1.985500,84.000000,93.000000,2112596681918.469971,51371849633.594215,2639066934776614092800.000000,1949558826333.631104,2263800516238.686035,1000
0.260000,88.505000,1.412082,1.993975,85.000000,94.000000,2112775560938.788818,51640228663.378609,2666713216406029598720.000000,1949560468176.058105,2263802376997.430664,1000
0.270000,89.183000,1.450349,2.103511,86.000000,94.000000,2113135053647.711914,51545603700.869270,2656949260887067721728.000000,1949562044799.107910,2263804149499.189941,1000
0.280000,89.932000,1.437837,2.067376,87.000000,95.000000,2112958677443.083496,51204026293.999939,2621852308716637388800.000000,1949563556264.927490,2263805834066.685547,1000
0.290000,90.630000,1.420246,2.017100,88.000000,96.000000,2113778081154.601074,50529772848.602470,2553257944131363667968.000000,1949565002615.527100,2264301901230.971191,1000
0.300000,91.464000,1.394526,1.944704,88.000000,97.000000,2113964499196.794678,50041228017.419006,2504124501491320881152.000000,1949566383867.698242,2264299400449.986328,1000
0.310000,92.230000,1.422357,2.023100,89.000000,97.000000,2112885436766.259033,49974878165.404953,2497488447647068979200.000000,1949567700007.652588,2264296855339.520020,1000
0.320000,92.964000,1.391655,1.936704,90.000000,98.000000,2112692963375.116943,49046461188.807823,2405555355145232449536.000000,1960725222469.575439,2264294266873.594727,1000
0.330000,93.805000,1.384549,1.916975,91.000000,99.000000,2112348149268.253906,49513353978.484062,2451572222198663348224.000000,1960726230996.966309,2264291635936.703125,1000
0.340000,94.562000,1.355048,1.836156,91.000000,100.000000,2113009371452.608398,49311843576.329002,2431657916896340082688.000000,1960727255494.395264,2264288963312.950684,1000
0.350000,95.440000,1.352183,1.828400,92.000000,100.000000,2110596207938.278076,49532923416.363388,2453510502171320778752.000000,1960728296686.843994,2264286249675.201660,1000
0.360000,96.235000,1.377598,1.897775,93.000000,102.000000,2110222535657.279541,49642770569.593964,2464404669825344339968.000000,1959823650156.574463,2264283495574.133789,1000
0.370000,97.072000,1.373614,1.886816,93.000000,103.000000,2109222255458.427490,50167576817.966881,2516785763786607820800.000000,1959823010840.885742,2264280701427.350098,1000
0.380000,98.240000,1.397283,1.952400,94.000000,103.000000,2109846109037.291992,49737964608.511002,2473865123397493063680.000000,1959822363754.809082,2264277867508.501465,1000
0.390000,99.239000,1.409212,1.985879,95.000000,103.000000,2108619420495.012451,50497730366.507378,2550020772168481112064.000000,1959821709329.577881,2259542003590.304688,1000
0.400000,100.161000,1.427263,2.037079,96.000000,103.000000,2108927077813.115479,50580806086.773163,2558417944387749150720.000000,1959821048057.353760,2266243834679.970703,1000
0.410000,101.023000,1.327581,1.762471,97.000000,104.000000,2109656957113.884521,50212108033.666862,2521255793184631947264.000000,1959820380498.294189,2266248530779.506836,1000
0.420000,101.820000,1.110675,1.233600,98.000000,104.000000,2109206408514.162842,50156474189.440147,2515671903115975589888.000000,1959819707288.341309,2266253493059.921875,1000
0.430000,102.481000,0.779512,0.607639,99.000000,104.000000,2109072220694.280762,49699919715.336388,2470082019710882283520.000000,1959819029147.862305,2266258728983.520020,1000
0.440000,102.899000,0.380525,0.144799,100.000000,104.000000,2108710572152.317871,50129685572.602356,2512985375607976624128.000000,1959818346891.206543,2266264245834.393066,1000
0.450000,103.000000,0.167332,0.028000,101.000000,104.000000,2109227024620.110840,49430274729.948975,2443352059878232293376.000000,1959817661437.409180,2266270050655.572266,1000
0.460000,103.013000,0.121783,0.014831,102.000000,104.000000,2109516099266.090820,49542068234.287056,2454416524930754543616.000000,1963346650089.819336,2266276150179.727539,1000
0.470000,103.015000,0.121552,0.014775,103.000000,104.000000,2110819488397.347900,49243066445.198700,2424879592926253940736.000000,1936176610485.824951,2266282550753.279785,1000
0.480000,103.014000,0.117490,0.013804,103.000000,104.000000,2110945586443.201416,50411593727.209999,2541328782117278580736.000000,1936175611588.032471,2269280579237.661133,1000
0.490000,103.015000,0.121552,0.014775,103.000000,104.000000,2110405065673.238525,49755259871.863777,2475585884916698054656.000000,1936174598025.865723,2269285189729.153809,1000
0.500000,103.016000,0.125475,0.015744,103.000000,104.000000,2109754179792.413574,50133950162.157333,2513412958861674938368.000000,1936173571173.231689,2269289819028.764160,1000
